filepath,filename,width,height,n_pixels,n_unique_colors,file_size_bytes,entropy_bits,O_rank_by_entropy
.\data\images\Snow_landscape_at_sundown_-_geograph.org.uk_-_1152786.jpg,Snow_landscape_at_sundown_-_geograph.org.uk_-_1152786.jpg,640,480,307200,16604,38188,11.53083371186499,55
".\data\images\Juist,_Memmertfeuer_--_2014_--_3533.jpg","Juist,_Memmertfeuer_--_2014_--_3533.jpg",640,640,409600,47904,63597,11.546022472469861,56
.\data\images\San_Francisco_City_Lights_-_Flickr_-_Joe_Parks.jpg,San_Francisco_City_Lights_-_Flickr_-_Joe_Parks.jpg,640,202,129280,22775,22297,11.552607991933547,57
".\data\images\Snow_covered_landscape_,_Kings_Langley_-_geograph.org.uk_-_2259355.jpg","Snow_covered_landscape_,_Kings_Langley_-_geograph.org.uk_-_2259355.jpg",640,390,249600,9201,52386,11.61291121198241,58
".\data\images\Thar_Desert,_India,_Sand_dunes.jpg","Thar_Desert,_India,_Sand_dunes.jpg",640,427,273280,12392,93022,11.693533834619071,59
.\data\images\640px-The_city_of_blinding_lights_(3918750768).jpg,640px-The_city_of_blinding_lights_(3918750768).jpg,640,427,273280,43190,53740,11.737200805552202,60
".\data\images\Amboy_(California,_USA)_--_2012_--_4.jpg","Amboy_(California,_USA)_--_2012_--_4.jpg",640,427,273280,47684,48826,11.836861519919697,61
.\data\images\640px-Photography_by_Victor_Albert_Grigas_(1919-2017)_IDEAS_00023_Iowa_48_snow_1948_(49346566161).jpg,640px-Photography_by_Victor_Albert_Grigas_(1919-2017)_IDEAS_00023_Iowa_48_snow_1948_(49346566161).jpg,640,459,293760,27582,68325,11.858510684041782,62
.\data\images\Night_lights_-_panoramio_-_fabiolah.jpg,Night_lights_-_panoramio_-_fabiolah.jpg,640,480,307200,39022,53015,11.862029258120907,63
".\data\images\Sand_dune_in_the_desert,_Sahara_Desert,_Egypt.jpg","Sand_dune_in_the_desert,_Sahara_Desert,_Egypt.jpg",640,427,273280,13123,99903,11.872266230689775,64
.\data\images\Melvyn_Douglas_vintage_1940s_studio_portrait_(cropped2).jpg,Melvyn_Douglas_vintage_1940s_studio_portrait_(cropped2).jpg,640,853,545920,16085,92331,11.908965223280802,65
.\data\images\Russ_Feingold_Official_Portrait_3.jpg,Russ_Feingold_Official_Portrait_3.jpg,640,811,519040,56217,83594,11.923966643838614,66
.\data\images\Blue_sky_and_clouds_over_lake.jpg,Blue_sky_and_clouds_over_lake.jpg,640,391,250240,23572,24966,12.052088449913121,67
